,id,trade_id,player_id,trade_player_id,round,user_team_id,processed,status,source
0,26827,16727,214,322,2,182,2020-06-12 10:01:48,2,trade
0,30776,19019,522,574,3,186,2020-06-15 20:17:51,7,trade
0,40668,24785,395,752,4,182,2020-07-07 00:31:22,3,trade
0,49794,30082,90,755,5,33301,2020-06-30 21:43:08,3,trade
1,49795,30082,570,455,5,33301,2020-06-30 21:43:08,3,trade
2,49796,30082,389,335,5,33301,2020-06-30 21:43:08,3,trade
3,49797,30082,491,0,5,33301,2020-06-30 21:43:08,3,trade
4,49798,30082,637,0,5,33301,2020-06-30 21:43:08,3,trade
0,49956,30167,36,389,5,5524,2020-07-01 19:11:42,2,trade
0,49974,30177,36,389,5,5524,2020-06-30 22:33:56,2,trade
0,51546,31052,335,389,5,9856,2020-07-01 21:22:52,7,trade
1,51547,31052,755,637,5,9856,2020-07-01 21:22:52,7,trade
2,51548,31052,715,328,5,9856,2020-07-01 21:22:52,7,trade
3,51549,31052,0,90,5,9856,2020-07-01 21:22:52,7,trade
4,51550,31052,0,491,5,9856,2020-07-01 21:22:52,7,trade
0,57022,34214,616,789,6,182,2020-07-08 19:53:04,3,trade
1,57023,34214,418,591,6,182,2020-07-08 19:53:04,3,trade
0,59004,35338,415,414,6,189,2020-07-13 14:40:19,3,trade
1,59005,35338,173,690,6,189,2020-07-13 14:40:19,3,trade
0,59547,35641,738,700,6,182,2020-07-09 01:18:32,2,trade
1,59548,35641,616,37,6,182,2020-07-09 01:18:32,2,trade
0,59741,35750,616,700,6,182,2020-07-09 12:25:55,7,trade
1,59742,35750,738,37,6,182,2020-07-09 12:25:55,7,trade
0,69347,41226,455,519,7,9856,2020-07-16 17:09:01,7,trade
1,69348,41226,734,334,7,9856,2020-07-16 17:09:01,7,trade
2,69349,41226,668,537,7,9856,2020-07-16 17:09:01,7,trade
0,76512,45377,797,796,8,9856,2020-07-24 10:11:44,7,trade
1,76513,45377,481,133,8,9856,2020-07-24 10:11:44,7,trade
2,76514,45377,495,0,8,9856,2020-07-24 10:11:44,7,trade
0,84721,50420,261,491,10,186,2020-08-05 16:59:10,3,trade
1,84722,50420,165,403,10,186,2020-08-05 16:59:10,3,trade
0,84743,50433,808,677,10,186,2020-08-08 11:33:05,2,trade
0,84969,50612,413,460,10,189,2020-08-07 23:56:21,3,trade
0,84971,50614,200,808,10,5524,2020-08-07 23:56:26,3,trade
0,84977,50620,807,413,10,9806,2020-08-07 19:39:08,7,trade
0,84981,50624,787,411,10,182,2020-08-07 19:46:43,2,trade
0,86188,51367,572,807,11,186,2020-08-08 15:55:55,2,trade
0,86293,51423,637,207,11,9856,2020-08-08 12:53:26,3,trade
0,90446,53886,617,794,12,186,2020-08-13 18:21:13,2,trade
1,90447,53886,572,0,12,186,2020-08-13 18:21:13,2,trade
0,90536,53937,572,794,12,186,2020-08-13 19:43:58,7,trade
1,90537,53937,617,0,12,186,2020-08-13 19:43:58,7,trade
0,90715,54044,178,565,12,9806,2020-08-14 09:55:49,2,trade
1,90716,54044,303,537,12,9806,2020-08-14 09:55:49,2,trade
