,round_number,match_name,home_team_id,home_team_name,home_team_coach,home_team_points,away_team_id,away_team_name,away_team_coach,away_team_points
0,1,Paul vs Mark,182,Coronaviney,Paul,1686,186,GetRichOrDieTryin,Mark,1657
0,1,Anthony vs Luke,189,The Full Bonty,Anthony,1662,5524,The Dragon's Laird,Luke,1720
0,1,Lester vs Simon,9806,HoweIMetYourMother,Lester,1827,9856,It's always Sonny,Simon,1476
0,1,James vs Jordan,9867,Bad Boys For Fyfe,James,1623,33301,"What's Up, Doch?",Jordan,1721
0,2,Paul vs Anthony,182,Coronaviney,Paul,1676,189,The Full Bonty,Anthony,1653
0,2,Lester vs Mark,9806,HoweIMetYourMother,Lester,1658,186,GetRichOrDieTryin,Mark,1642
0,2,James vs Luke,9867,Bad Boys For Fyfe,James,1538,5524,The Dragon's Laird,Luke,1906
0,2,Jordan vs Simon,33301,"What's Up, Doch?",Jordan,1700,9856,It's always Sonny,Simon,1659
0,3,Paul vs Lester,182,Coronaviney,Paul,1590,9806,HoweIMetYourMother,Lester,1679
0,3,James vs Anthony,9867,Bad Boys For Fyfe,James,1263,189,The Full Bonty,Anthony,1411
0,3,Jordan vs Mark,33301,"What's Up, Doch?",Jordan,1277,186,GetRichOrDieTryin,Mark,1535
0,3,Simon vs Luke,9856,It's always Sonny,Simon,1497,5524,The Dragon's Laird,Luke,1659
0,4,Paul vs James,182,Coronaviney,Paul,1443,9867,Bad Boys For Fyfe,James,1468
0,4,Jordan vs Lester,33301,"What's Up, Doch?",Jordan,1674,9806,HoweIMetYourMother,Lester,1648
0,4,Simon vs Anthony,9856,It's always Sonny,Simon,1528,189,The Full Bonty,Anthony,1558
0,4,Luke vs Mark,5524,The Dragon's Laird,Luke,1700,186,GetRichOrDieTryin,Mark,1810
0,5,Paul vs Jordan,182,Coronaviney,Paul,1350,33301,"What's Up, Doch?",Jordan,1602
0,5,Simon vs James,9856,It's always Sonny,Simon,1507,9867,Bad Boys For Fyfe,James,1583
0,5,Luke vs Lester,5524,The Dragon's Laird,Luke,1591,9806,HoweIMetYourMother,Lester,1646
0,5,Mark vs Anthony,186,GetRichOrDieTryin,Mark,1719,189,The Full Bonty,Anthony,1589
0,6,Paul vs Simon,182,Coronaviney,Paul,1486,9856,It's always Sonny,Simon,1754
0,6,Luke vs Jordan,5524,The Dragon's Laird,Luke,1428,33301,"What's Up, Doch?",Jordan,1688
0,6,Mark vs James,186,GetRichOrDieTryin,Mark,1633,9867,Bad Boys For Fyfe,James,1519
0,6,Anthony vs Lester,189,The Full Bonty,Anthony,1541,9806,HoweIMetYourMother,Lester,1675
0,7,Paul vs Luke,182,Coronaviney,Paul,1648,5524,The Dragon's Laird,Luke,1664
0,7,Mark vs Simon,186,GetRichOrDieTryin,Mark,1645,9856,It's always Sonny,Simon,1755
0,7,Anthony vs Jordan,189,The Full Bonty,Anthony,1643,33301,"What's Up, Doch?",Jordan,1547
0,7,Lester vs James,9806,HoweIMetYourMother,Lester,1578,9867,Bad Boys For Fyfe,James,1663
0,8,Paul vs Mark,182,Coronaviney,Paul,1740,186,GetRichOrDieTryin,Mark,1512
0,8,Anthony vs Luke,189,The Full Bonty,Anthony,1803,5524,The Dragon's Laird,Luke,1834
0,8,Lester vs Simon,9806,HoweIMetYourMother,Lester,1552,9856,It's always Sonny,Simon,1772
0,8,James vs Jordan,9867,Bad Boys For Fyfe,James,1639,33301,"What's Up, Doch?",Jordan,1630
0,9,Paul vs Anthony,182,Coronaviney,Paul,1637,189,The Full Bonty,Anthony,1630
0,9,Lester vs Mark,9806,HoweIMetYourMother,Lester,1875,186,GetRichOrDieTryin,Mark,1667
0,9,James vs Luke,9867,Bad Boys For Fyfe,James,1497,5524,The Dragon's Laird,Luke,1743
0,9,Jordan vs Simon,33301,"What's Up, Doch?",Jordan,1619,9856,It's always Sonny,Simon,1617
0,10,Paul vs Lester,182,Coronaviney,Paul,1583,9806,HoweIMetYourMother,Lester,1548
0,10,James vs Anthony,9867,Bad Boys For Fyfe,James,1516,189,The Full Bonty,Anthony,1792
0,10,Jordan vs Mark,33301,"What's Up, Doch?",Jordan,1598,186,GetRichOrDieTryin,Mark,1437
0,10,Simon vs Luke,9856,It's always Sonny,Simon,1694,5524,The Dragon's Laird,Luke,1318
0,11,Paul vs James,182,Coronaviney,Paul,1586,9867,Bad Boys For Fyfe,James,1573
0,11,Jordan vs Lester,33301,"What's Up, Doch?",Jordan,1288,9806,HoweIMetYourMother,Lester,1657
0,11,Simon vs Anthony,9856,It's always Sonny,Simon,1722,189,The Full Bonty,Anthony,1661
0,11,Luke vs Mark,5524,The Dragon's Laird,Luke,1466,186,GetRichOrDieTryin,Mark,1587
0,12,Paul vs Jordan,182,Coronaviney,Paul,1574,33301,"What's Up, Doch?",Jordan,1578
0,12,Simon vs James,9856,It's always Sonny,Simon,1748,9867,Bad Boys For Fyfe,James,1525
0,12,Luke vs Lester,5524,The Dragon's Laird,Luke,1752,9806,HoweIMetYourMother,Lester,1776
0,12,Mark vs Anthony,186,GetRichOrDieTryin,Mark,1867,189,The Full Bonty,Anthony,1672
0,13,Paul vs Simon,182,Coronaviney,Paul,1749,9856,It's always Sonny,Simon,1760
0,13,Luke vs Jordan,5524,The Dragon's Laird,Luke,1628,33301,"What's Up, Doch?",Jordan,1832
0,13,Mark vs James,186,GetRichOrDieTryin,Mark,1861,9867,Bad Boys For Fyfe,James,1595
0,13,Anthony vs Lester,189,The Full Bonty,Anthony,1578,9806,HoweIMetYourMother,Lester,1916
0,14,Paul vs Luke,182,Coronaviney,Paul,1660,5524,The Dragon's Laird,Luke,1631
0,14,Mark vs Simon,186,GetRichOrDieTryin,Mark,1796,9856,It's always Sonny,Simon,1616
0,14,Anthony vs Jordan,189,The Full Bonty,Anthony,1613,33301,"What's Up, Doch?",Jordan,1950
0,14,Lester vs James,9806,HoweIMetYourMother,Lester,1598,9867,Bad Boys For Fyfe,James,1593
0,16,Paul vs Mark,182,Coronaviney,Paul,1692,186,GetRichOrDieTryin,Mark,1528
0,16,Anthony vs Luke,189,The Full Bonty,Anthony,1464,5524,The Dragon's Laird,Luke,1812
0,16,Lester vs Simon,9806,HoweIMetYourMother,Lester,1333,9856,It's always Sonny,Simon,1865
0,16,James vs Jordan,9867,Bad Boys For Fyfe,James,1345,33301,"What's Up, Doch?",Jordan,1752
0,17,Paul vs Anthony,182,Coronaviney,Paul,1355,189,The Full Bonty,Anthony,1155
0,17,Lester vs Mark,9806,HoweIMetYourMother,Lester,1717,186,GetRichOrDieTryin,Mark,1802
0,17,James vs Luke,9867,Bad Boys For Fyfe,James,1395,5524,The Dragon's Laird,Luke,1642
0,17,Jordan vs Simon,33301,"What's Up, Doch?",Jordan,1435,9856,It's always Sonny,Simon,1722
0,18,Paul vs Lester,182,Coronaviney,Paul,1843,9806,HoweIMetYourMother,Lester,1580
0,18,James vs Anthony,9867,Bad Boys For Fyfe,James,1570,189,The Full Bonty,Anthony,1536
0,18,Jordan vs Mark,33301,"What's Up, Doch?",Jordan,1532,186,GetRichOrDieTryin,Mark,1758
0,18,Simon vs Luke,9856,It's always Sonny,Simon,1700,5524,The Dragon's Laird,Luke,1692
